UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,record_id,equipment_id,equipment_type,equipment_model,hospital_unit,timestamp,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,failure_type,severity,downtime_hours,maintenance_cost_usd,days_since_last_pm,technician_notes
33,L00014,L,297.3,307.5,1383,35.3,81,0,0,0,0,0,0,REC00033,VEN001,Ventilator,Drager Evita V500,ICU,2023-07-17 00:00:00,297.3,307.5,1383,35.3,81,0,No Failure,Low,0.0,0,2,Scheduled check completed. No anomalies detected.
34,L00015,L,300.8,312.0,1288,28.8,163,0,0,0,0,0,0,REC00034,INF001,Infusion Pump,Baxter Sigma Spectrum,General Ward,2024-02-11 00:00:00,300.8,312.0,1288,28.8,163,0,No Failure,Low,0.0,0,37,Scheduled check completed. No anomalies detected.
35,L00016,L,296.2,308.1,1624,48.5,123,0,0,0,0,0,0,REC00035,PAT001,Patient Monitor,Mindray N22,Emergency,2024-07-12 00:00:00,296.2,308.1,1624,48.5,123,0,No Failure,Low,0.0,0,23,Scheduled check completed. No anomalies detected.
36,L00017,L,300.7,311.4,1526,45.9,225,0,0,0,0,0,0,REC00036,VEN001,Ventilator,Drager Evita V500,ICU,2024-10-14 00:00:00,300.7,311.4,1526,45.9,225,0,No Failure,Low,0.0,0,36,Routine inspection completed. All parameters normal.
37,L00018,L,297.1,307.5,1431,58.7,141,0,0,0,0,0,0,REC00037,INF001,Infusion Pump,Baxter Sigma Spectrum,Oncology,2024-02-19 00:00:00,297.1,307.5,1431,58.7,141,0,No Failure,Low,0.0,0,17,Calibration verified. Sensor readings within tolerance.
38,L00019,L,299.2,310.0,1599,61.4,167,0,0,0,0,0,0,REC00038,PAT001,Patient Monitor,Mindray N22,General Ward,2023-06-25 00:00:00,299.2,310.0,1599,61.4,167,0,No Failure,Low,0.0,0,141,Routine inspection completed. All parameters normal.
39,L00020,L,301.8,312.3,1472,19.7,37,0,0,0,0,0,0,REC00039,VEN001,Ventilator,Drager Evita V500,ICU,2024-06-04 00:00:00,301.8,312.3,1472,19.7,37,0,No Failure,Low,0.0,0,89,Calibration verified. Sensor readings within tolerance.
40,M00012,M,300.5,310.5,1472,51.6,63,0,0,0,0,0,0,REC00040,ICU001,ICU Device,Nellcor PM1000N,Emergency,2023-05-05 00:00:00,300.5,310.5,1472,51.6,63,0,No Failure,Low,0.0,0,121,Routine inspection completed. All parameters normal.
41,L00021,L,296.7,306.7,1464,37.8,6,0,0,0,0,0,0,REC00041,PAT001,Patient Monitor,Mindray N22,Cardiology,2023-04-12 00:00:00,296.7,306.7,1464,37.8,6,0,No Failure,Low,0.0,0,180,Scheduled check completed. No anomalies detected.
42,H00009,H,298.7,307.6,1335,45.5,148,0,0,0,0,0,0,REC00042,MRI001,MRI,Siemens MAGNETOM Vida,Radiology,2023-09-19 00:00:00,298.7,307.6,1335,45.5,148,0,No Failure,Medium,0.0,0,117,Scheduled check completed. No anomalies detected.
43,M00013,M,297.0,307.8,1315,47.8,142,0,0,0,0,0,0,REC00043,ICU001,ICU Device,Nellcor PM1000N,Emergency,2023-08-29 00:00:00,297.0,307.8,1315,47.8,142,0,No Failure,Low,0.0,0,86,Preventive maintenance performed. Equipment functioning within specifications.
44,L00022,L,296.6,306.6,1394,47.4,77,0,0,0,0,0,0,REC00044,PAT001,Patient Monitor,Mindray N22,ICU,2023-04-17 00:00:00,296.6,306.6,1394,47.4,77,0,No Failure,Low,0.0,0,48,Routine inspection completed. All parameters normal.
45,H00010,H,300.2,311.7,1506,50.0,58,0,0,0,0,0,0,REC00045,CT001,CT Scanner,Siemens SOMATOM Drive,Radiology,2023-02-08 00:00:00,300.2,311.7,1506,50.0,58,0,No Failure,Medium,0.0,0,136,Routine inspection completed. All parameters normal.
46,H00011,H,301.1,312.0,1168,34.4,114,0,0,0,0,0,0,REC00046,MRI001,MRI,GE SIGNA Premier,Neurology,2024-11-21 00:00:00,301.1,312.0,1168,34.4,114,0,No Failure,Medium,0.0,0,91,Preventive maintenance performed. Equipment functioning within specifications.
47,L00023,L,300.9,310.3,1688,30.5,26,0,0,0,0,0,0,REC00047,PAT001,Patient Monitor,Mindray N22,Emergency,2024-05-09 00:00:00,300.9,310.3,1688,30.5,26,0,No Failure,Low,0.0,0,136,Scheduled check completed. No anomalies detected.
48,L00024,L,301.2,312.5,1503,51.9,215,1,0,0,0,1,0,REC00048,VEN001,Ventilator,Drager Evita V500,ICU,2024-06-07 00:00:00,301.2,312.5,1503,51.9,215,1,Overstrain Failure,High,9.5,1003,4,Mechanical overstrain. Load limits recalibrated.
49,M00014,M,300.0,308.0,1286,31.3,210,0,0,0,0,0,0,REC00049,ICU001,ICU Device,Nellcor PM1000N,Emergency,2023-02-18 00:00:00,300.0,308.0,1286,31.3,210,0,No Failure,Low,0.0,0,29,Preventive maintenance performed. Equipment functioning within specifications.
50,L00025,L,299.5,311.4,1823,58.6,150,0,0,0,0,0,0,REC00050,PAT001,Patient Monitor,Mindray N22,General Ward,2024-08-04 00:00:00,299.5,311.4,1823,58.6,150,0,No Failure,Low,0.0,0,23,Routine inspection completed. All parameters normal.
51,L00026,L,297.9,306.5,1508,32.4,228,0,0,0,0,0,0,REC00051,VEN001,Ventilator,Drager Evita V500,ICU,2023-09-24 00:00:00,297.9,306.5,1508,32.4,228,0,No Failure,Low,0.0,0,123,Calibration verified. Sensor readings within tolerance.
52,L00027,L,299.1,309.6,1232,36.2,155,0,0,0,0,0,0,REC00052,INF001,Infusion Pump,Baxter Sigma Spectrum,ICU,2024-06-30 00:00:00,299.1,309.6,1232,36.2,155,0,No Failure,Low,0.0,0,93,Scheduled check completed. No anomalies detected.
53,M00015,M,297.4,307.8,1814,38.1,124,0,0,0,0,0,0,REC00053,LAB001,Lab Analyzer,Beckman AU5800,General Ward,2023-12-24 00:00:00,297.4,307.8,1814,38.1,124,0,No Failure,Medium,0.0,0,57,Calibration verified. Sensor readings within tolerance.
54,M00016,M,298.3,309.4,1770,24.6,151,0,0,0,0,0,0,REC00054,ULT001,Ultrasound,GE LOGIQ E10,General Ward,2023-06-27 00:00:00,298.3,309.4,1770,24.6,151,0,No Failure,Low,0.0,0,56,Scheduled check completed. No anomalies detected.
55,M00017,M,300.2,309.8,1318,24.6,21,0,0,0,0,0,0,REC00055,ICU001,ICU Device,Nellcor PM1000N,Emergency,2023-07-11 00:00:00,300.2,309.8,1318,24.6,21,0,No Failure,Low,0.0,0,109,Preventive maintenance performed. Equipment functioning within specifications.
56,M00018,M,299.8,307.8,1435,49.1,55,0,0,0,0,0,0,REC00056,LAB001,Lab Analyzer,Beckman AU5800,General Ward,2023-04-13 00:00:00,299.8,307.8,1435,49.1,55,0,No Failure,Medium,0.0,0,174,Scheduled check completed. No anomalies detected.
57,L00028,L,304.0,313.7,1408,22.8,141,0,0,0,0,0,0,REC00057,VEN001,Ventilator,Drager Evita V500,ICU,2024-08-28 00:00:00,304.0,313.7,1408,22.8,141,0,No Failure,Low,0.0,0,180,Scheduled check completed. No anomalies detected.
58,M00019,M,297.3,307.1,1168,65.2,28,0,0,0,0,0,0,REC00058,ICU001,ICU Device,Nellcor PM1000N,Emergency,2023-11-10 00:00:00,297.3,307.1,1168,65.2,28,0,No Failure,Low,0.0,0,85,Preventive maintenance performed. Equipment functioning within specifications.
59,L00029,L,299.7,307.7,1564,39.1,204,0,0,0,0,0,0,REC00059,PAT001,Patient Monitor,Mindray N22,Emergency,2024-07-23 00:00:00,299.7,307.7,1564,39.1,204,0,No Failure,Low,0.0,0,121,Scheduled check completed. No anomalies detected.
60,L00030,L,297.2,307.2,1669,29.7,43,0,0,0,0,0,0,REC00060,VEN001,Ventilator,Drager Evita V500,ICU,2024-08-28 00:00:00,297.2,307.2,1669,29.7,43,0,No Failure,Low,0.0,0,15,Routine inspection completed. All parameters normal.
61,M00020,M,299.2,308.1,1631,44.2,105,0,0,0,0,0,0,REC00061,ICU001,ICU Device,Nellcor PM1000N,Emergency,2023-05-02 00:00:00,299.2,308.1,1631,44.2,105,0,No Failure,Low,0.0,0,171,Preventive maintenance performed. Equipment functioning within specifications.
62,L00031,L,299.3,310.0,1506,15.4,122,0,0,0,0,0,0,REC00062,PAT001,Patient Monitor,Mindray N22,General Ward,2023-08-30 00:00:00,299.3,310.0,1506,15.4,122,0,No Failure,Low,0.0,0,3,Preventive maintenance performed. Equipment functioning within specifications.
63,M00021,M,301.7,311.4,1688,36.7,39,0,0,0,0,0,0,REC00063,ULT001,Ultrasound,GE LOGIQ E10,Emergency,2023-04-01 00:00:00,301.7,311.4,1688,36.7,39,0,No Failure,Low,0.0,0,61,Preventive maintenance performed. Equipment functioning within specifications.
64,M00022,M,299.1,311.1,1272,37.9,61,0,0,0,0,0,0,REC00064,ICU001,ICU Device,Nellcor PM1000N,Emergency,2023-01-07 00:00:00,299.1,311.1,1272,37.9,61,0,No Failure,Medium,0.0,0,131,Calibration verified. Sensor readings within tolerance.
65,M00023,M,299.6,309.4,1863,27.3,122,0,0,0,0,0,0,REC00065,LAB001,Lab Analyzer,Beckman AU5800,General Ward,2024-12-21 00:00:00,299.6,309.4,1863,27.3,122,0,No Failure,Low,0.0,0,175,Calibration verified. Sensor readings within tolerance.
66,M00024,M,299.1,309.6,1345,33.7,27,0,0,0,0,0,0,REC00066,ULT001,Ultrasound,GE LOGIQ E10,General Ward,2024-04-26 00:00:00,299.1,309.6,1345,33.7,27,0,No Failure,Low,0.0,0,31,Scheduled check completed. No anomalies detected.
67,M00025,M,297.2,307.0,1367,55.3,47,0,0,0,0,0,0,REC00067,ICU001,ICU Device,Nellcor PM1000N,Emergency,2023-11-26 00:00:00,297.2,307.0,1367,55.3,47,0,No Failure,Low,0.0,0,119,Preventive maintenance performed. Equipment functioning within specifications.
68,L00032,L,298.7,307.1,1384,41.8,5,0,0,0,0,0,0,REC00068,PAT001,Patient Monitor,Mindray N22,ICU,2023-05-27 00:00:00,298.7,307.1,1384,41.8,5,0,No Failure,Low,0.0,0,33,Scheduled check completed. No anomalies detected.
69,L00033,L,299.2,309.0,1370,44.0,128,0,0,0,0,0,0,REC00069,VEN001,Ventilator,Drager Evita V500,ICU,2024-03-07 00:00:00,299.2,309.0,1370,44.0,128,0,No Failure,Low,0.0,0,9,Routine inspection completed. All parameters normal.
70,L00034,L,300.1,310.9,1461,32.1,208,0,0,0,0,0,0,REC00070,INF001,Infusion Pump,Baxter Sigma Spectrum,General Ward,2024-02-01 00:00:00,300.1,310.9,1461,32.1,208,0,No Failure,Low,0.0,0,76,Preventive maintenance performed. Equipment functioning within specifications.
71,L00035,L,301.1,311.7,1453,26.8,205,0,0,0,0,0,0,REC00071,PAT001,Patient Monitor,Mindray N22,Emergency,2023-06-12 00:00:00,301.1,311.7,1453,26.8,205,0,No Failure,Low,0.0,0,104,Routine inspection completed. All parameters normal.
72,L00036,L,299.5,309.2,1525,37.6,89,0,0,0,0,0,0,REC00072,VEN001,Ventilator,Drager Evita V500,ICU,2023-01-11 00:00:00,299.5,309.2,1525,37.6,89,0,No Failure,Low,0.0,0,47,Scheduled check completed. No anomalies detected.
73,H00012,H,299.5,308.0,1336,15.4,173,0,0,0,0,0,0,REC00073,CT001,CT Scanner,GE Revolution CT,Emergency,2023-12-09 00:00:00,299.5,308.0,1336,15.4,173,0,No Failure,Medium,0.0,0,176,Calibration verified. Sensor readings within tolerance.
74,L00037,L,296.6,307.2,1533,29.0,250,0,0,0,0,0,0,REC00074,PAT001,Patient Monitor,Mindray N22,General Ward,2024-01-07 00:00:00,296.6,307.2,1533,29.0,250,0,No Failure,Low,0.0,0,111,Scheduled check completed. No anomalies detected.
75,L00038,L,301.1,311.5,1281,27.5,107,0,0,0,0,0,0,REC00075,VEN001,Ventilator,Drager Evita V500,ICU,2024-08-05 00:00:00,301.1,311.5,1281,27.5,107,0,No Failure,Low,0.0,0,79,Routine inspection completed. All parameters normal.
76,L00039,L,298.6,309.5,1646,19.6,231,0,0,0,0,0,0,REC00076,INF001,Infusion Pump,Baxter Sigma Spectrum,ICU,2023-10-15 00:00:00,298.6,309.5,1646,19.6,231,0,No Failure,Low,0.0,0,87,Preventive maintenance performed. Equipment functioning within specifications.
77,L00040,L,301.5,311.2,1644,46.5,196,1,0,0,0,0,1,REC00077,PAT001,Patient Monitor,Mindray N22,Cardiology,2023-03-12 00:00:00,301.5,311.2,1644,46.5,196,1,Random Failure,Medium,3.0,1857,84,"Intermittent fault. All connections tested, sensor replaced."
78,M00026,M,302.6,310.9,1498,38.7,44,0,0,0,0,0,0,REC00078,ULT001,Ultrasound,GE LOGIQ E10,General Ward,2024-10-04 00:00:00,302.6,310.9,1498,38.7,44,0,No Failure,Low,0.0,0,20,Preventive maintenance performed. Equipment functioning within specifications.
79,M00027,M,299.6,310.2,1370,33.8,112,0,0,0,0,0,0,REC00079,ICU001,ICU Device,Nellcor PM1000N,Emergency,2023-10-29 00:00:00,299.6,310.2,1370,33.8,112,0,No Failure,Low,0.0,0,109,Calibration verified. Sensor readings within tolerance.
80,M00028,M,298.0,307.9,1562,46.7,235,0,0,0,0,0,0,REC00080,LAB001,Lab Analyzer,Beckman AU5800,General Ward,2024-06-10 00:00:00,298.0,307.9,1562,46.7,235,0,No Failure,Medium,0.0,0,142,Calibration verified. Sensor readings within tolerance.
81,M00029,M,300.0,311.4,1322,23.6,42,0,0,0,0,0,0,REC00081,ULT001,Ultrasound,GE LOGIQ E10,Cardiology,2023-02-01 00:00:00,300.0,311.4,1322,23.6,42,0,No Failure,Low,0.0,0,76,Calibration verified. Sensor readings within tolerance.
82,L00041,L,300.7,310.7,1506,26.6,14,0,0,0,0,0,0,REC00082,INF001,Infusion Pump,Baxter Sigma Spectrum,General Ward,2023-01-27 00:00:00,300.7,310.7,1506,26.6,14,0,No Failure,Low,0.0,0,77,Preventive maintenance performed. Equipment functioning within specifications.
83,H00013,H,299.4,309.3,1469,51.2,67,0,0,0,0,0,0,REC00083,CT001,CT Scanner,Canon Aquilion Prime,Oncology,2023-01-18 00:00:00,299.4,309.3,1469,51.2,67,0,No Failure,Medium,0.0,0,164,Scheduled check completed. No anomalies detected.
84,L00042,L,298.9,309.3,2025,62.8,1,0,0,0,0,0,0,REC00084,VEN001,Ventilator,Drager Evita V500,ICU,2024-07-30 00:00:00,298.9,309.3,2025,62.8,1,0,No Failure,Low,0.0,0,110,Preventive maintenance performed. Equipment functioning within specifications.
85,L00043,L,301.1,310.5,1254,46.8,32,0,0,0,0,0,0,REC00085,INF001,Infusion Pump,Baxter Sigma Spectrum,Oncology,2023-06-25 00:00:00,301.1,310.5,1254,46.8,32,0,No Failure,Low,0.0,0,53,Preventive maintenance performed. Equipment functioning within specifications.
86,L00044,L,301.0,310.4,1168,44.7,107,0,0,0,0,0,0,REC00086,PAT001,Patient Monitor,Mindray N22,General Ward,2024-07-31 00:00:00,301.0,310.4,1168,44.7,107,0,No Failure,Low,0.0,0,0,Scheduled check completed. No anomalies detected.
87,M00030,M,299.3,309.2,1372,34.2,193,0,0,0,0,0,0,REC00087,ULT001,Ultrasound,GE LOGIQ E10,Emergency,2024-11-20 00:00:00,299.3,309.2,1372,34.2,193,0,No Failure,Medium,0.0,0,149,Calibration verified. Sensor readings within tolerance.
88,L00045,L,296.7,305.8,1168,34.4,54,0,0,0,0,0,0,REC00088,INF001,Infusion Pump,Baxter Sigma Spectrum,ICU,2024-04-29 00:00:00,296.7,305.8,1168,34.4,54,0,No Failure,Low,0.0,0,113,Calibration verified. Sensor readings within tolerance.
89,L00046,L,300.9,310.7,1354,42.3,214,0,0,0,0,0,0,REC00089,PAT001,Patient Monitor,Mindray N22,Cardiology,2024-12-20 00:00:00,300.9,310.7,1354,42.3,214,0,No Failure,Low,0.0,0,113,Scheduled check completed. No anomalies detected.
90,M00031,M,298.5,310.4,1240,53.7,249,0,0,0,0,0,0,REC00090,ULT001,Ultrasound,GE LOGIQ E10,General Ward,2024-11-09 00:00:00,298.5,310.4,1240,53.7,249,0,No Failure,Low,0.0,0,51,Preventive maintenance performed. Equipment functioning within specifications.
91,L00047,L,300.4,311.5,1319,44.3,117,0,0,0,0,0,0,REC00091,INF001,Infusion Pump,Baxter Sigma Spectrum,Cardiology,2024-06-11 00:00:00,300.4,311.5,1319,44.3,117,0,No Failure,Low,0.0,0,33,Preventive maintenance performed. Equipment functioning within specifications.
92,M00032,M,300.3,310.6,1287,49.6,251,0,0,0,0,0,0,REC00092,LAB001,Lab Analyzer,Beckman AU5800,General Ward,2024-08-09 00:00:00,300.3,310.6,1287,49.6,251,0,No Failure,Low,0.0,0,89,Calibration verified. Sensor readings within tolerance.
93,L00048,L,296.2,307.8,1692,30.8,146,0,0,0,0,0,0,REC00093,VEN001,Ventilator,Drager Evita V500,ICU,2024-03-16 00:00:00,296.2,307.8,1692,30.8,146,0,No Failure,Low,0.0,0,137,Routine inspection completed. All parameters normal.
94,L00049,L,300.2,309.3,1490,46.2,15,0,0,0,0,0,0,REC00094,INF001,Infusion Pump,Baxter Sigma Spectrum,General Ward,2023-06-09 00:00:00,300.2,309.3,1490,46.2,15,0,No Failure,Low,0.0,0,53,Routine inspection completed. All parameters normal.
95,L00050,L,301.0,313.0,1715,33.3,27,0,0,0,0,0,0,REC00095,PAT001,Patient Monitor,Mindray N22,Emergency,2023-03-17 00:00:00,301.0,313.0,1715,33.3,27,0,No Failure,Low,0.0,0,95,Routine inspection completed. All parameters normal.
96,M00033,M,301.3,310.8,1508,41.4,129,0,0,0,0,0,0,REC00096,ULT001,Ultrasound,GE LOGIQ E10,Radiology,2023-10-06 00:00:00,301.3,310.8,1508,41.4,129,0,No Failure,Low,0.0,0,180,Preventive maintenance performed. Equipment functioning within specifications.
97,L00051,L,300.2,312.2,1685,46.2,233,0,0,0,0,0,0,REC00097,INF001,Infusion Pump,Baxter Sigma Spectrum,Oncology,2023-12-13 00:00:00,300.2,312.2,1685,46.2,233,0,No Failure,Low,0.0,0,39,Preventive maintenance performed. Equipment functioning within specifications.
98,L00052,L,296.0,308.0,1439,34.7,24,0,0,0,0,0,0,REC00098,PAT001,Patient Monitor,Mindray N22,General Ward,2023-09-13 00:00:00,296.0,308.0,1439,34.7,24,0,No Failure,Low,0.0,0,41,Calibration verified. Sensor readings within tolerance.
99,L00053,L,302.6,310.8,1818,29.8,144,0,0,0,0,0,0,REC00099,VEN001,Ventilator,Drager Evita V500,ICU,2023-03-16 00:00:00,302.6,310.8,1818,29.8,144,0,No Failure,Low,0.0,0,42,Routine inspection completed. All parameters normal.
