UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
44,L00022,L,296.6,306.6,1394,47.4,77,0,0,0,0,0,0
45,H00010,H,300.2,311.7,1506,50.0,58,0,0,0,0,0,0
46,H00011,H,301.1,312.0,1168,34.4,114,0,0,0,0,0,0
47,L00023,L,300.9,310.3,1688,30.5,26,0,0,0,0,0,0
48,L00024,L,301.2,312.5,1503,51.9,215,1,0,0,0,1,0
49,M00014,M,300.0,308.0,1286,31.3,210,0,0,0,0,0,0
50,L00025,L,299.5,311.4,1823,58.6,150,0,0,0,0,0,0
51,L00026,L,297.9,306.5,1508,32.4,228,0,0,0,0,0,0
52,L00027,L,299.1,309.6,1232,36.2,155,0,0,0,0,0,0
53,M00015,M,297.4,307.8,1814,38.1,124,0,0,0,0,0,0
54,M00016,M,298.3,309.4,1770,24.6,151,0,0,0,0,0,0
55,M00017,M,300.2,309.8,1318,24.6,21,0,0,0,0,0,0
56,M00018,M,299.8,307.8,1435,49.1,55,0,0,0,0,0,0
57,L00028,L,304.0,313.7,1408,22.8,141,0,0,0,0,0,0
58,M00019,M,297.3,307.1,1168,65.2,28,0,0,0,0,0,0
59,L00029,L,299.7,307.7,1564,39.1,204,0,0,0,0,0,0
60,L00030,L,297.2,307.2,1669,29.7,43,0,0,0,0,0,0
61,M00020,M,299.2,308.1,1631,44.2,105,0,0,0,0,0,0
62,L00031,L,299.3,310.0,1506,15.4,122,0,0,0,0,0,0
63,M00021,M,301.7,311.4,1688,36.7,39,0,0,0,0,0,0
64,M00022,M,299.1,311.1,1272,37.9,61,0,0,0,0,0,0
65,M00023,M,299.6,309.4,1863,27.3,122,0,0,0,0,0,0
66,M00024,M,299.1,309.6,1345,33.7,27,0,0,0,0,0,0
67,M00025,M,297.2,307.0,1367,55.3,47,0,0,0,0,0,0
68,L00032,L,298.7,307.1,1384,41.8,5,0,0,0,0,0,0
69,L00033,L,299.2,309.0,1370,44.0,128,0,0,0,0,0,0
70,L00034,L,300.1,310.9,1461,32.1,208,0,0,0,0,0,0
71,L00035,L,301.1,311.7,1453,26.8,205,0,0,0,0,0,0
72,L00036,L,299.5,309.2,1525,37.6,89,0,0,0,0,0,0
73,H00012,H,299.5,308.0,1336,15.4,173,0,0,0,0,0,0
74,L00037,L,296.6,307.2,1533,29.0,250,0,0,0,0,0,0
75,L00038,L,301.1,311.5,1281,27.5,107,0,0,0,0,0,0
76,L00039,L,298.6,309.5,1646,19.6,231,0,0,0,0,0,0
77,L00040,L,301.5,311.2,1644,46.5,196,1,0,0,0,0,1
78,M00026,M,302.6,310.9,1498,38.7,44,0,0,0,0,0,0
79,M00027,M,299.6,310.2,1370,33.8,112,0,0,0,0,0,0
80,M00028,M,298.0,307.9,1562,46.7,235,0,0,0,0,0,0
81,M00029,M,300.0,311.4,1322,23.6,42,0,0,0,0,0,0
82,L00041,L,300.7,310.7,1506,26.6,14,0,0,0,0,0,0
83,H00013,H,299.4,309.3,1469,51.2,67,0,0,0,0,0,0
84,L00042,L,298.9,309.3,2025,62.8,1,0,0,0,0,0,0
85,L00043,L,301.1,310.5,1254,46.8,32,0,0,0,0,0,0
86,L00044,L,301.0,310.4,1168,44.7,107,0,0,0,0,0,0
87,M00030,M,299.3,309.2,1372,34.2,193,0,0,0,0,0,0
88,L00045,L,296.7,305.8,1168,34.4,54,0,0,0,0,0,0
89,L00046,L,300.9,310.7,1354,42.3,214,0,0,0,0,0,0
90,M00031,M,298.5,310.4,1240,53.7,249,0,0,0,0,0,0
91,L00047,L,300.4,311.5,1319,44.3,117,0,0,0,0,0,0
92,M00032,M,300.3,310.6,1287,49.6,251,0,0,0,0,0,0
93,L00048,L,296.2,307.8,1692,30.8,146,0,0,0,0,0,0
94,L00049,L,300.2,309.3,1490,46.2,15,0,0,0,0,0,0
95,L00050,L,301.0,313.0,1715,33.3,27,0,0,0,0,0,0
96,M00033,M,301.3,310.8,1508,41.4,129,0,0,0,0,0,0
97,L00051,L,300.2,312.2,1685,46.2,233,0,0,0,0,0,0
98,L00052,L,296.0,308.0,1439,34.7,24,0,0,0,0,0,0
99,L00053,L,302.6,310.8,1818,29.8,144,0,0,0,0,0,0
100,H00014,H,300.8,312.3,1594,43.6,205,0,0,0,0,0,0
101,H00015,H,297.6,307.3,1344,38.7,248,0,0,0,0,0,0
102,M00034,M,298.4,307.9,1623,41.4,229,0,0,0,0,0,0
103,L00054,L,300.5,311.0,1505,46.6,26,0,0,0,0,0,0
104,H00016,H,301.4,310.4,1459,53.1,19,0,0,0,0,0,0
105,M00035,M,299.0,309.5,1519,46.6,51,0,0,0,0,0,0
106,M00036,M,301.7,310.7,1650,45.3,70,0,0,0,0,0,0
107,L00055,L,296.4,306.6,1168,35.0,219,0,0,0,0,0,0
108,L00056,L,297.9,309.3,1429,36.5,163,0,0,0,0,0,0
109,L00057,L,295.9,306.3,1636,44.5,238,0,0,0,0,0,0
110,H00017,H,298.2,307.8,1549,36.4,105,0,0,0,0,0,0
111,L00058,L,303.0,313.6,1274,44.5,103,0,0,0,0,0,0
112,L00059,L,304.0,312.6,1168,31.8,70,0,0,0,0,0,0
113,L00060,L,300.5,309.6,1840,59.3,110,0,0,0,0,0,0
114,M00037,M,298.7,308.3,1462,41.9,200,0,0,0,0,0,0
115,L00061,L,299.6,310.3,1802,41.3,176,0,0,0,0,0,0
116,H00018,H,300.9,311.4,1658,35.2,199,0,0,0,0,0,0
117,M00038,M,296.9,307.4,1341,59.1,210,0,0,0,0,0,0
118,M00039,M,298.9,308.8,1168,27.5,1,0,0,0,0,0,0
119,L00062,L,302.9,312.1,1407,33.0,60,0,0,0,0,0,0
120,M00040,M,297.9,309.4,1492,48.5,165,0,0,0,0,0,0
121,M00041,M,298.5,307.8,1590,42.4,112,0,0,0,0,0,0
122,M00042,M,300.0,310.4,1277,34.2,29,0,0,0,0,0,0
123,L00063,L,300.6,310.5,1535,34.5,16,0,0,0,0,0,0
124,L00064,L,298.7,309.3,1535,37.1,238,0,0,0,0,0,0
125,L00065,L,300.2,309.5,1697,41.0,214,0,0,0,0,0,0
126,L00066,L,301.2,312.3,1438,55.5,80,0,0,0,0,0,0
127,L00067,L,303.9,315.3,1588,46.1,161,0,0,0,0,0,0
128,L00068,L,299.7,310.7,1557,50.2,37,0,0,0,0,0,0
129,L00069,L,299.9,310.1,1675,35.7,34,0,0,0,0,0,0
130,M00043,M,303.1,312.6,1336,45.2,84,0,0,0,0,0,0
131,L00070,L,298.9,310.9,1168,24.5,71,0,0,0,0,0,0
132,H00019,H,297.4,306.4,1452,41.8,247,0,0,0,0,0,0
133,M00044,M,300.5,311.4,1453,41.2,6,0,0,0,0,0,0
134,L00071,L,302.2,312.5,1268,58.2,138,0,0,0,0,0,0
135,M00045,M,300.7,310.7,1198,55.6,216,0,0,0,0,0,0
136,L00072,L,299.8,310.0,1385,37.4,6,0,0,0,0,0,0
137,H00020,H,297.1,306.6,1477,31.8,140,0,0,0,0,0,0
138,L00073,L,299.9,310.3,1519,32.1,96,0,0,0,0,0,0
139,M00046,M,302.5,312.8,1168,37.1,54,0,0,0,0,0,0
140,L00074,L,297.5,309.5,1168,53.0,59,0,0,0,0,0,0
141,L00075,L,299.5,310.6,1725,44.1,206,0,0,0,0,0,0
142,L00076,L,299.2,309.7,1462,45.2,117,0,0,0,0,0,0
143,H00021,H,298.6,309.2,1499,48.1,11,0,0,0,0,0,0
144,M00047,M,300.5,312.3,1233,30.1,103,0,0,0,0,0,0
145,L00077,L,300.9,309.9,1499,32.9,206,0,0,0,0,0,0
146,L00078,L,300.9,310.7,1424,45.2,174,0,0,0,0,0,0
147,L00079,L,298.0,306.1,1376,32.2,241,0,0,0,0,0,0
148,M00048,M,296.7,307.3,1207,24.7,195,0,0,0,0,0,0
149,L00080,L,300.5,311.4,1326,29.2,43,0,0,0,0,0,0
150,L00081,L,299.0,308.0,1894,50.5,16,0,0,0,0,0,0
151,H00022,H,303.7,315.1,1430,36.3,117,0,0,0,0,0,0
152,H00023,H,303.8,313.1,1657,42.3,112,0,0,0,0,0,0
153,L00082,L,304.0,313.6,1460,29.7,138,0,0,0,0,0,0
154,M00049,M,298.1,308.2,1437,43.8,169,0,0,0,0,0,0
155,L00083,L,301.1,312.7,1372,37.3,64,0,0,0,0,0,0
156,M00050,M,301.7,310.9,1769,44.5,250,0,0,0,0,0,0
157,L00084,L,301.5,311.8,1574,35.2,125,0,0,0,0,0,0
158,M00051,M,299.3,310.1,1342,45.0,180,0,0,0,0,0,0
159,M00052,M,302.6,313.1,1421,34.7,103,0,0,0,0,0,0
160,M00053,M,300.0,310.6,1715,39.2,173,0,0,0,0,0,0
161,L00085,L,300.3,311.0,1168,37.3,248,0,0,0,0,0,0
162,H00024,H,296.9,306.4,1562,40.3,38,0,0,0,0,0,0
163,L00086,L,301.3,313.0,1607,42.8,110,0,0,0,0,0,0
164,L00087,L,299.5,309.4,1350,35.1,176,0,0,0,0,0,0
165,M00054,M,300.9,310.7,1530,38.8,216,0,0,0,0,0,0
166,L00088,L,300.5,311.8,1600,41.9,161,0,0,0,0,0,0
167,H00025,H,300.4,309.7,1253,45.1,58,0,0,0,0,0,0
168,H00026,H,299.9,310.2,1668,39.2,163,0,0,0,0,0,0
169,L00089,L,301.6,310.9,1559,31.1,157,0,0,0,0,0,0
170,H00027,H,299.6,311.6,1469,40.9,11,0,0,0,0,0,0
171,L00090,L,297.1,309.1,1520,46.7,153,0,0,0,0,0,0
172,M00055,M,301.1,311.0,1641,26.7,134,0,0,0,0,0,0
173,L00091,L,298.4,308.9,1963,26.8,73,0,0,0,0,0,0
174,H00028,H,297.4,307.4,1621,33.4,60,0,0,0,0,0,0
175,L00092,L,298.0,307.6,1662,38.1,194,0,0,0,0,0,0
176,L00093,L,300.6,310.7,1538,18.0,16,0,0,0,0,0,0
177,L00094,L,299.8,309.8,1880,45.7,71,0,0,0,0,0,0
178,H00029,H,295.7,304.2,1206,38.2,177,0,0,0,0,0,0
179,H00030,H,299.2,309.5,1168,16.5,52,0,0,0,0,0,0
180,M00056,M,302.3,312.3,1530,28.9,29,0,0,0,0,0,0
181,H00031,H,299.1,309.4,1632,37.0,248,0,0,0,0,0,0
182,H00032,H,299.7,309.6,1168,22.3,143,0,0,0,0,0,0
183,M00057,M,302.1,311.7,1499,49.7,67,0,0,0,0,0,0
184,L00095,L,301.6,312.5,1463,41.9,38,0,0,0,0,0,0
185,M00058,M,302.0,312.6,1648,46.8,1,0,0,0,0,0,0
186,M00059,M,295.0,306.4,1585,29.7,189,0,0,0,0,0,0
187,L00096,L,303.5,314.0,1168,44.1,90,0,0,0,0,0,0
188,L00097,L,301.3,311.1,1283,33.4,49,0,0,0,0,0,0
189,M00060,M,304.0,314.6,1338,38.1,228,0,0,0,0,0,0
190,L00098,L,298.4,306.5,1647,43.5,176,0,0,0,0,0,0
191,H00033,H,296.5,308.5,1574,39.3,205,0,0,0,0,0,0
192,L00099,L,300.0,310.3,1375,48.1,165,0,0,0,0,0,0
193,L00100,L,299.4,311.4,1528,41.4,231,0,0,0,0,0,0
194,H00034,H,301.3,310.4,1288,35.4,87,0,0,0,0,0,0
195,L00101,L,302.1,311.0,1909,48.4,39,0,0,0,0,0,0
196,L00102,L,299.8,310.2,1614,50.5,1,0,0,0,0,0,0
197,M00061,M,299.5,309.9,1657,40.9,8,0,0,0,0,0,0
198,H00035,H,301.0,311.4,1775,53.4,216,0,0,0,0,0,0
199,L00103,L,299.5,309.7,1703,37.6,155,0,0,0,0,0,0
200,L00104,L,299.3,308.7,1506,38.7,11,0,0,0,0,0,0
201,M00062,M,302.1,310.6,1463,40.0,27,0,0,0,0,0,0
202,H00036,H,302.5,312.8,1757,38.7,176,0,0,0,0,0,0
203,M00063,M,302.2,310.9,1505,36.9,97,0,0,0,0,0,0
204,L00105,L,299.7,308.3,1350,32.9,195,0,0,0,0,0,0
205,L00106,L,295.7,305.3,1893,30.1,236,0,0,0,0,0,0
206,L00107,L,299.7,310.1,1312,41.1,191,0,0,0,0,0,0
207,L00108,L,298.5,310.5,1168,52.0,45,0,0,0,0,0,0
208,M00064,M,299.7,310.7,1698,48.1,164,0,0,0,0,0,0
209,L00109,L,298.7,310.1,1353,43.9,150,0,0,0,0,0,0
210,M00065,M,300.0,310.6,1587,52.5,214,0,0,0,0,0,0
211,M00066,M,297.9,308.3,1863,40.2,50,0,0,0,0,0,0
212,M00067,M,297.4,309.4,1225,30.1,181,0,0,0,0,0,0
213,L00110,L,302.4,311.1,1491,36.5,151,0,0,0,0,0,0
214,H00037,H,298.1,307.6,1796,39.4,120,0,0,0,0,0,0
215,M00068,M,300.0,309.7,1636,34.9,73,0,0,0,0,0,0
216,M00069,M,301.9,312.8,1464,46.1,6,0,0,0,0,0,0
217,L00111,L,301.8,310.8,1977,49.4,203,0,0,0,0,0,0
218,L00112,L,301.6,312.4,1480,22.7,27,0,0,0,0,0,0
219,H00038,H,300.6,311.2,1579,38.5,95,0,0,0,0,0,0
220,L00113,L,301.4,312.3,1829,11.0,125,0,0,0,0,0,0
221,L00114,L,302.7,313.5,1696,39.1,83,0,0,0,0,0,0
222,L00115,L,300.9,312.4,1764,39.0,167,0,0,0,0,0,0
223,M00070,M,296.3,306.3,1320,57.8,83,0,0,0,0,0,0
224,H00039,H,298.9,309.5,1745,54.8,130,0,0,0,0,0,0
225,L00116,L,301.4,310.7,1533,49.3,24,0,0,0,0,0,0
226,H00040,H,298.7,307.8,1350,30.4,109,0,0,0,0,0,0
227,L00117,L,303.2,315.0,1544,29.8,147,0,0,0,0,0,0
228,M00071,M,299.9,309.1,1538,29.0,218,0,0,0,0,0,0
229,M00072,M,300.2,310.8,1873,55.3,45,0,0,0,0,0,0
230,L00118,L,302.2,312.8,1576,30.9,85,0,0,0,0,0,0
231,L00119,L,299.6,310.8,1343,36.1,65,0,0,0,0,0,0
232,L00120,L,300.4,308.7,1297,31.0,38,0,0,0,0,0,0
233,H00041,H,301.8,312.7,1490,27.4,97,0,0,0,0,0,0
234,M00073,M,297.1,307.0,1230,43.3,229,0,0,0,0,0,0
235,H00042,H,299.4,308.8,1356,41.5,94,0,0,0,0,0,0
236,H00043,H,301.7,311.4,1451,17.8,68,0,0,0,0,0,0
237,L00121,L,300.1,311.2,1415,27.0,242,0,0,0,0,0,0
238,M00074,M,302.9,313.7,1645,42.6,181,0,0,0,0,0,0
239,L00122,L,296.8,306.7,1352,39.3,93,0,0,0,0,0,0
240,L00123,L,296.6,305.5,1168,36.0,189,0,0,0,0,0,0
241,H00044,H,301.5,310.5,1168,46.1,161,0,0,0,0,0,0
242,M00075,M,301.7,312.5,1496,25.6,216,0,0,0,0,0,0
243,L00124,L,299.6,308.3,1382,34.1,28,0,0,0,0,0,0
244,M00076,M,300.8,310.7,1252,45.2,136,0,0,0,0,0,0
245,M00077,M,301.5,313.5,1891,33.5,177,0,0,0,0,0,0
246,H00045,H,298.4,308.8,1665,43.1,252,0,0,0,0,0,0
247,M00078,M,298.6,309.3,1488,28.5,152,0,0,0,0,0,0
248,L00125,L,300.4,309.3,1546,31.8,35,0,0,0,0,0,0
249,L00126,L,301.8,310.6,1446,22.2,245,0,0,0,0,0,0
250,L00127,L,297.7,308.5,1249,19.4,116,0,0,0,0,0,0
251,M00079,M,299.6,309.3,1706,35.2,123,0,0,0,0,0,0
252,H00046,H,299.5,310.7,1670,44.5,64,0,0,0,0,0,0
253,L00128,L,300.8,311.0,1168,38.9,205,0,0,0,0,0,0
254,L00129,L,300.0,312.0,1545,51.6,133,0,0,0,0,0,0
255,L00130,L,298.9,308.4,1567,36.1,246,0,0,0,0,0,0
256,M00080,M,302.5,312.9,1435,18.8,131,0,0,0,0,0,0
257,H00047,H,298.9,308.1,1919,43.4,45,0,0,0,0,0,0
258,L00131,L,299.4,310.5,1897,29.2,194,0,0,0,0,0,0
259,L00132,L,296.8,307.4,1424,41.3,37,0,0,0,0,0,0
260,M00081,M,298.6,307.7,1455,17.1,71,0,0,0,0,0,0
261,L00133,L,301.0,310.8,1431,37.2,237,0,0,0,0,0,0
262,H00048,H,300.6,312.1,1377,47.0,247,0,0,0,0,0,0
263,L00134,L,301.2,312.6,1315,45.8,196,0,0,0,0,0,0
264,L00135,L,301.1,309.8,1601,37.5,52,0,0,0,0,0,0
265,H00049,H,304.0,313.6,1892,39.5,187,0,0,0,0,0,0
266,L00136,L,298.5,310.4,1810,35.0,150,0,0,0,0,0,0
267,L00137,L,296.8,306.7,1657,37.0,113,0,0,0,0,0,0
268,L00138,L,297.9,308.2,1168,46.3,112,0,0,0,0,0,0
269,L00139,L,298.6,309.7,1168,32.5,114,0,0,0,0,0,0
270,L00140,L,298.1,306.8,1712,33.5,81,0,0,0,0,0,0
271,L00141,L,300.2,309.3,1823,24.2,136,0,0,0,0,0,0
272,L00142,L,302.5,312.3,1610,46.5,9,0,0,0,0,0,0
273,L00143,L,303.1,314.4,1438,36.8,214,0,0,0,0,0,0
274,M00082,M,301.0,312.1,1770,27.4,226,0,0,0,0,0,0
275,M00083,M,304.0,314.8,1650,48.2,98,0,0,0,0,0,0
276,L00144,L,299.3,309.2,1727,39.0,239,0,0,0,0,0,0
277,L00145,L,296.7,308.0,1168,32.0,196,0,0,0,0,0,0
278,M00084,M,302.1,312.1,1568,48.4,214,0,0,0,0,0,0
279,H00050,H,296.3,307.0,1854,36.0,225,0,0,0,0,0,0
280,H00051,H,298.5,309.5,1605,23.8,86,0,0,0,0,0,0
281,L00146,L,301.0,312.8,1689,49.0,205,0,0,0,0,0,0
282,L00147,L,299.8,309.8,1507,31.1,36,0,0,0,0,0,0
283,L00148,L,299.6,309.4,1521,69.7,247,0,0,0,0,0,0
284,L00149,L,297.6,309.0,1780,35.0,150,0,0,0,0,0,0
285,M00085,M,300.0,311.5,1366,19.3,175,0,0,0,0,0,0
286,L00150,L,302.0,311.6,1346,57.0,77,0,0,0,0,0,0
287,L00151,L,300.0,309.0,1404,38.9,8,0,0,0,0,0,0
288,L00152,L,298.3,309.7,1504,42.0,41,0,0,0,0,0,0
289,M00086,M,297.5,306.0,1177,43.3,35,0,0,0,0,0,0
290,L00153,L,298.4,306.8,1646,25.8,111,0,0,0,0,0,0
291,H00052,H,300.8,310.6,1467,17.8,74,0,0,0,0,0,0
292,L00154,L,300.7,310.8,1670,59.0,238,0,0,0,0,0,0
293,H00053,H,298.4,307.3,1168,23.8,212,0,0,0,0,0,0
294,L00155,L,295.6,305.8,1671,55.8,136,0,0,0,0,0,0
295,H00054,H,300.8,311.1,1767,44.7,215,0,0,0,0,0,0
296,H00055,H,298.2,307.7,1587,41.2,148,0,0,0,0,0,0
297,H00056,H,301.4,313.4,1506,34.8,232,1,1,0,0,0,0
298,H00057,H,298.5,308.9,1673,62.5,188,0,0,0,0,0,0
299,M00087,M,298.0,309.2,1754,32.5,186,0,0,0,0,0,0
300,M00088,M,300.3,308.9,1604,32.8,69,0,0,0,0,0,0
301,M00089,M,304.0,312.5,1619,46.2,200,0,0,0,0,0,0
302,L00156,L,301.5,312.0,1831,32.7,195,0,0,0,0,0,0
303,M00090,M,300.3,312.1,1652,29.3,20,0,0,0,0,0,0
304,M00091,M,300.7,309.7,1339,38.9,14,0,0,0,0,0,0
305,H00058,H,296.5,306.6,1753,46.3,222,1,1,0,0,0,0
306,L00157,L,297.8,306.5,1475,58.3,247,0,0,0,0,0,0
307,L00158,L,295.0,304.3,1506,60.3,152,0,0,0,0,0,0
308,M00092,M,303.5,313.7,1521,21.6,43,0,0,0,0,0,0
309,L00159,L,303.1,312.6,1693,49.9,106,0,0,0,0,0,0
310,L00160,L,300.8,309.5,1849,29.6,5,0,0,0,0,0,0
311,L00161,L,300.3,308.9,1504,30.1,207,0,0,0,0,0,0
312,L00162,L,296.9,305.0,1846,34.1,26,0,0,0,0,0,0
313,L00163,L,299.6,310.0,1532,33.4,84,0,0,0,0,0,0
314,L00164,L,303.6,314.2,1780,28.8,142,0,0,0,0,0,0
315,L00165,L,300.3,310.9,1539,16.2,176,0,0,0,0,0,0
316,L00166,L,298.9,308.0,1401,53.9,229,0,0,0,0,0,0
317,L00167,L,296.5,307.5,1884,48.5,106,0,0,0,0,0,0
318,M00093,M,302.8,313.5,1382,39.3,48,0,0,0,0,0,0
319,L00168,L,299.9,309.9,1369,29.8,27,0,0,0,0,0,0
320,H00059,H,296.5,306.3,1248,51.8,166,0,0,0,0,0,0
321,H00060,H,298.2,307.5,1753,38.9,32,0,0,0,0,0,0
322,L00169,L,297.4,307.6,1800,33.7,166,0,0,0,0,0,0
323,L00170,L,299.7,311.4,1574,23.0,115,0,0,0,0,0,0
324,M00094,M,300.4,311.6,1303,44.9,105,0,0,0,0,0,0
325,H00061,H,299.0,308.7,1498,36.1,66,0,0,0,0,0,0
326,M00095,M,301.6,312.1,1439,42.1,228,0,0,0,0,0,0
327,H00062,H,300.2,309.1,1293,41.2,181,0,0,0,0,0,0
328,M00096,M,302.1,312.9,1402,45.8,132,0,0,0,0,0,0
329,M00097,M,299.3,308.5,1601,41.7,107,0,0,0,0,0,0
330,L00171,L,304.0,314.7,1378,36.4,91,0,0,0,0,0,0
331,M00098,M,298.9,310.9,1558,45.0,100,0,0,0,0,0,0
332,L00172,L,298.2,307.6,1168,49.0,215,0,0,0,0,0,0
333,M00099,M,297.9,309.9,1835,55.0,106,0,0,0,0,0,0
334,H00063,H,299.6,310.1,1421,28.3,1,0,0,0,0,0,0
335,L00173,L,296.6,305.8,1674,50.6,233,0,0,0,0,0,0
336,M00100,M,300.6,309.8,1537,23.6,149,0,0,0,0,0,0
337,L00174,L,296.2,308.2,1580,49.6,41,0,0,0,0,0,0
338,M00101,M,300.3,310.8,1273,33.6,32,0,0,0,0,0,0
339,L00175,L,297.3,306.7,1347,47.9,95,0,0,0,0,0,0
340,H00064,H,299.2,309.0,1352,54.4,154,0,0,0,0,0,0
341,L00176,L,301.2,311.6,1505,41.8,237,0,0,0,0,0,0
342,H00065,H,304.0,314.0,1765,39.5,13,0,0,0,0,0,0
343,H00066,H,297.8,308.2,1586,39.0,89,0,0,0,0,0,0
344,M00102,M,299.7,311.5,1319,35.3,65,0,0,0,0,0,0
345,M00103,M,298.6,307.4,1517,51.2,106,0,0,0,0,0,0
346,M00104,M,298.3,308.9,1483,38.9,200,0,0,0,0,0,0
347,H00067,H,298.6,308.5,1429,18.2,40,1,0,0,1,0,0
348,L00177,L,301.6,311.1,1496,48.8,236,0,0,0,0,0,0
349,M00105,M,299.0,310.1,1652,48.3,64,0,0,0,0,0,0
350,L00178,L,304.0,312.5,1356,40.4,190,0,0,0,0,0,0
351,M00106,M,300.8,308.8,1430,32.1,161,0,0,0,0,0,0
352,L00179,L,298.0,308.2,1696,28.4,138,0,0,0,0,0,0
353,M00107,M,299.3,309.1,1593,32.1,213,0,0,0,0,0,0
354,M00108,M,298.4,307.0,1755,42.0,153,0,0,0,0,0,0
355,L00180,L,301.6,309.9,1787,21.6,197,0,0,0,0,0,0
356,M00109,M,296.7,308.7,1227,44.2,149,0,0,0,0,0,0
357,M00110,M,297.3,307.8,1557,40.7,182,0,0,0,0,0,0
358,M00111,M,298.8,308.8,1398,52.9,12,0,0,0,0,0,0
359,L00181,L,301.4,313.4,1260,47.0,163,0,0,0,0,0,0
360,M00112,M,302.5,313.5,1342,32.8,224,0,0,0,0,0,0
361,H00068,H,302.8,314.5,1439,23.1,164,0,0,0,0,0,0
362,L00182,L,301.1,309.9,1441,31.8,206,0,0,0,0,0,0
363,L00183,L,299.8,308.6,1378,53.8,250,1,1,0,0,0,0
364,L00184,L,301.6,312.2,1497,42.9,39,0,0,0,0,0,0
365,M00113,M,297.7,308.1,1989,46.0,174,0,0,0,0,0,0
366,L00185,L,296.3,307.6,1168,33.7,227,0,0,0,0,0,0
367,M00114,M,300.9,309.2,1727,44.8,7,0,0,0,0,0,0
368,M00115,M,298.0,308.7,1496,24.8,43,0,0,0,0,0,0
369,L00186,L,299.9,310.9,1412,49.4,63,0,0,0,0,0,0
370,H00069,H,300.2,311.2,1168,28.4,222,1,0,0,0,0,1
371,M00116,M,300.5,310.1,1652,20.3,247,0,0,0,0,0,0
372,L00187,L,301.9,312.4,1211,62.6,231,0,0,0,0,0,0
373,L00188,L,301.7,310.9,1665,41.3,119,0,0,0,0,0,0
374,L00189,L,300.4,310.1,1848,41.1,168,0,0,0,0,0,0
